"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0842709","267","975","648","0.0536128","0.0807469","7960","6975","0","0","0","0","0","0.672846","0.317049","40102","1851","900","0","0","0","0","0","0","0","0","0","9","0","0","86383","148472","2019","2255","482","40","1258","980","177","10309","25270","270","444","22","117","117","3244","71","0","77","30664","2309","6220","473","4665","1805","639","0","551","839","0","107","0","0"
"L104","example","example","L100","L103","0.00572707","1","2","2","0.145695","0.170213","22","16","0.25","0.291406","651","2","6","0.130435","0.323674","1184","9","60","1583","2742","17","62","0","4","0","201","1","12","17","1","2474","4502","35","101","30","1","81","12","6","310","378","4","25","1","3","12","80","2","0","5","878","107","185","3","155","87","6","0","29","20","0","0","0","0"
"L2428","extensions","extensions","L100","L103","0","0","0","0","0","0","0","0","0","0.225","9","0","4","0","0.225","9","0","4","31","52","1","1","0","1","0","3","0","0","2","0","31","52","1","1","9","0","1","1","0","3","3","0","1","0","0","0","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2449","org","org","L100","L103","0.0877287","264","967","640","0.0559371","0.0842529","7860","6887","0","0","0","0","0","0.698479","0.317201","37975","1837","793","0","0","0","0","0","0","0","0","0","1","0","0","81744","140515","1961","2109","342","39","1112","960","171","9874","24408","264","406","21","114","89","3121","63","0","67","29395","2133","5922","463","4416","1681","609","0","520","791","0","105","0","0"
"L50116","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0","0.239521","80","0","0","0","0.239521","80","0","0","254","667","0","4","0","0","0","5","0","0","0","0","254","667","0","4","98","0","25","0","0","5","5","0","0","0","0","0","0","0","0","0","13","2","11","0","9","4","0","0","0","0","0","0","0","0"
"L50259","foo","foo","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","2","4","0","1","0","0","0","0","0","1","0","0","4","8","0","2","11","0","2","0","0","0","0","0","2","0","0","1","0","0","0","0","6","0","1","0","0","1","0","0","0","0","0","0","0","0"
"L50267","com","com","L100","L103","0.262332","1","3","3","0.17561","0.333333","36","36","0","0","0","0","0","0","0.349398","58","0","5","0","0","0","0","0","0","0","0","0","1","0","0","108","205","0","7","49","0","7","0","0","11","16","0","4","0","0","3","5","0","0","0","93","1","4","0","2","3","0","0","0","0","0","0","0","0"
"L50368","integration","integration","L100","L103","0","0","0","0","0","0","0","0","0","0.245098","25","0","0","0","0.245098","25","0","0","77","122","0","2","0","0","0","7","0","0","0","0","77","122","0","2","13","0","2","0","0","7","23","0","0","0","0","0","0","0","0","0","23","1","16","0","16","1","0","0","0","0","0","0","0","0"
"L50408","standalone","standalone","L100","L103","0","0","0","0","0","0","0","0","0","0.325301","27","0","4","0","0.325301","27","0","4","56","105","0","3","0","0","0","8","0","0","3","0","56","105","0","3","9","0","3","0","0","8","6","0","1","0","0","0","3","0","0","0","27","4","4","0","5","1","0","0","2","0","0","0","0","0"
"L50430","platform","platform","L100","L103","0.0364865","1","3","3","0.0182927","0.0220183","42","36","0","0","0","0","0","0.135135","0.312736","744","5","32","0","0","0","0","0","0","0","0","0","1","0","0","1635","2296","22","26","17","0","25","7","0","91","431","2","5","0","0","3","33","6","0","5","216","61","77","7","62","27","24","0","0","28","0","2","0","0"
"L158","domain","example.domain","L104","L103","0","0","0","0","0","0","0","0","0","0.137931","12","0","11","0","0.137931","12","0","11","75","105","6","1","1","4","0","9","2","0","9","0","75","105","6","1","10","1","2","4","0","9","33","2","1","1","0","0","9","0","0","0","30","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L236","registration","example.registration","L104","L103","0","0","0","0","0","0","0","0","0","0.448276","65","0","11","0","0.448276","65","0","11","80","191","3","7","0","3","0","13","0","0","8","0","80","191","3","7","14","0","6","3","0","13","12","0","4","0","0","0","8","0","0","0","35","2","7","0","2","5","1","0","0","1","0","0","0","0"
"L340","util","example.util","L104","L103","0","0","0","0","0","0","0","0","0","0.416667","30","0","10","0","0.416667","30","0","10","42","96","1","3","0","0","0","7","0","0","7","0","42","96","1","3","10","0","4","0","0","7","13","0","3","0","0","0","7","0","0","0","24","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L493","callbacks","example.callbacks","L104","L103","0","0","0","0","0","0","0","0","0","0.34188","80","0","6","0","0.34188","80","0","6","154","302","1","6","0","0","0","26","0","0","4","0","154","302","1","6","10","0","6","0","0","26","26","0","2","0","0","0","4","0","0","0","70","2","10","0","3","8","0","0","0","1","0","0","0","0"
"L745","defaultmethods","example.defaultmethods","L104","L103","0","0","0","0","0","0","0","0","0.25","0.39823","45","3","9","0.25","0.39823","45","3","9","68","144","0","1","0","0","3","12","0","0","12","0","68","144","0","1","10","0","4","0","3","12","19","0","0","0","3","0","12","0","0","1","36","0","6","0","6","0","0","0","0","1","0","0","0","0"
"L1090","exception","example.exception","L104","L103","0","0","0","0","0","0","0","0","0.5","0.355263","54","1","1","0.5","0.355263","54","1","1","98","187","0","7","0","0","0","12","0","0","8","0","98","187","0","7","10","0","4","0","0","12","16","0","1","0","0","0","8","0","0","0","40","4","2","0","3","0","1","0","2","0","0","0","0","0"
"L1174","extensions","example.extensions","L104","L103","0","0","0","0","0","0","0","0","1","0.418605","36","1","0","1","0.418605","36","1","0","50","109","1","2","0","0","0","7","0","0","4","0","50","109","1","2","10","0","3","0","0","7","2","0","0","0","0","0","4","0","0","0","15","2","2","0","2","0","0","0","2","0","0","0","0","0"
"L1252","interceptor","example.interceptor","L104","L103","0","0","0","0","0","0","0","0","0.5","0.325","13","1","1","0.5","0.325","13","1","1","27","49","0","1","0","0","0","1","0","0","1","0","27","49","0","1","10","0","1","0","0","1","5","0","1","0","0","0","1","0","0","0","5","1","0","0","0","0","0","0","0","1","0","0","0","0"
"L1729","session","example.session","L104","L103","0","0","0","0","0","0","0","0","0","0.281553","29","0","3","0","0.281553","29","0","3","74","120","3","4","0","0","0","6","0","0","3","1","74","120","3","4","10","0","2","0","0","6","24","0","1","0","0","0","3","1","0","0","23","1","3","0","1","2","1","0","0","0","0","0","0","0"
"L2000","testinterface","example.testinterface","L104","L103","0","0","0","0","0","0","0","0","0","0.442478","50","0","0","0","0.442478","50","0","0","63","144","1","1","0","0","3","6","1","0","5","0","63","144","1","1","10","0","4","0","3","6","6","1","0","0","0","0","5","0","0","0","23","0","1","0","0","1","0","0","0","0","0","0","0","0"
"L2047","testkit","example.testkit","L104","L103","0","0","0","0","0","0","0","0","0","0.40796","82","0","0","0","0.40796","82","0","0","119","216","0","4","0","0","0","5","0","0","0","0","119","216","0","4","10","0","4","0","0","5","9","0","0","0","0","0","0","0","0","0","7","7","0","0","5","2","0","0","0","0","0","0","0","0"
"L2239","timing","example.timing","L104","L103","0","0","0","0","0","0","0","0","0.333333","0.474359","37","1","2","0.333333","0.474359","37","1","2","41","97","2","2","0","1","0","5","0","0","2","0","41","97","2","2","10","0","2","1","0","5","8","0","1","0","0","0","2","0","0","0","13","4","0","0","2","0","2","0","0","0","0","0","0","0"
"L2450","junit","org.junit","L2449","L103","0.0877287","264","967","640","0.0559371","0.0842529","7860","6887","0","0","0","0","0","0.698479","0.317201","37975","1837","793","0","0","0","0","0","0","0","0","0","4","0","0","81744","140515","1961","2109","342","39","1112","960","171","9874","24408","264","406","21","114","88","3121","63","0","67","29395","2133","5922","463","4416","1681","609","0","520","791","0","105","0","0"
"L50261","bar","foo.bar","L50259","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","4","0","1","0","0","0","0","0","0","0","0","2","4","0","1","10","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
