"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\.columbus_java\V1.ljsi","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.0\.columbus_java\V1.ljsi","0.0842608","267","975","12814.4","0.498789","648","0.0536128","0.0807451","0.0471775","7960","6975","0.0735494","0.672846","0.317049","40102","1851","900","86383","148472","2019","2255","440","40","1170","980","177","10309","25270","270","444","22","117","117","3244","71","0","77","31315","2309","6220","473","4665","1805","639","0","551","839","0","107","0","0"
"L102","<System>","<System>","0.0842608","267","975","12814.4","0.498789","648","0.0536128","0.0807451","0.0471775","7960","6975","0.0735494","0.672846","0.317049","40102","1851","900","86383","148472","2019","2255","440","40","1170","980","177","10309","25270","270","444","22","117","117","3244","71","0","77","31315","2309","6220","473","4665","1805","639","0","551","839","0","107","0","0"
