"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L50197","eclipse-public-license-2.0.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/src/spotless/eclipse-public-license-2.0.java","L50196","1","0","0","0","0","10"
"L50123","DefaultPackageTestCase.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-jupiter-engine/src/test/java/DefaultPackageTestCase.java","L155","1","0","0","0","8","29"
"L50122","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-jupiter-engine/src/module/org.junit.jupiter.engine/module-info.java","L50121","1","0","0","0","11","35"
"L50119","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-jupiter-api/src/module/org.junit.jupiter.api/module-info.java","L50118","1","0","0","0","12","28"
"L50176","DefaultPackageTestCase.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/platform-tests/src/test/java/DefaultPackageTestCase.java","L6072","1","0","0","0","8","29"
"L50126","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-jupiter-migrationsupport/src/module/org.junit.jupiter.migrationsupport/module-info.java","L50125","1","0","0","0","11","28"
"L50129","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-jupiter-params/src/module/org.junit.jupiter.params/module-info.java","L50128","1","0","0","0","13","31"
"L50137","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-commons/src/module/org.junit.platform.commons/module-info.java","L50136","1","0","0","0","38","55"
"L50140","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-console/src/module/org.junit.platform.console/module-info.java","L50139","1","0","0","0","8","26"
"L50143","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-engine/src/module/org.junit.platform.engine/module-info.java","L50142","1","0","0","0","13","34"
"L50146","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-jfr/src/module/org.junit.platform.jfr/module-info.java","L50145","1","0","0","0","10","33"
"L50149","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-launcher/src/module/org.junit.platform.launcher/module-info.java","L50148","1","0","0","0","17","42"
"L50152","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-reporting/src/module/org.junit.platform.reporting/module-info.java","L50151","1","0","0","0","9","27"
"L50155","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-runner/src/module/org.junit.platform.runner/module-info.java","L50154","1","0","0","0","8","26"
"L50158","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-suite-api/src/module/org.junit.platform.suite.api/module-info.java","L50157","1","0","0","0","5","22"
"L50161","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-suite-commons/src/module/org.junit.platform.suite.commons/module-info.java","L50160","1","0","0","0","10","27"
"L50164","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-suite-engine/src/module/org.junit.platform.suite.engine/module-info.java","L50163","1","0","0","0","10","29"
"L50172","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-testkit/src/module/org.junit.platform.testkit/module-info.java","L50171","1","0","0","0","10","30"
"L50175","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-vintage-engine/src/module/org.junit.vintage.engine/module-info.java","L50174","1","0","0","0","7","26"
"L50134","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-jupiter/src/module/org.junit.jupiter/module-info.java","L50133","1","0","0","0","5","21"
"L50169","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/junit-platform-suite/src/module/org.junit.platform.suite/module-info.java","L50168","1","0","0","0","4","20"
"L114","AssertionsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/AssertionsDemo.java","L113","1","0","0","0","94","151"
"L115","AssumptionsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/AssumptionsDemo.java","L113","1","0","0","0","26","56"
"L116","ConditionalTestExecutionDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/ConditionalTestExecutionDemo.java","L113","1","0","0","0","111","177"
"L117","CustomTestEngine.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/CustomTestEngine.java","L113","1","0","0","0","20","41"
"L118","DisabledClassDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/DisabledClassDemo.java","L113","1","0","0","0","9","26"
"L119","DisabledTestsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/DisabledTestsDemo.java","L113","1","0","0","0","12","30"
"L120","DisplayNameDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/DisplayNameDemo.java","L113","1","0","0","0","18","37"
"L121","DisplayNameGeneratorDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/DisplayNameGeneratorDemo.java","L113","1","0","0","0","34","59"
"L122","DocumentationTestSuite.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/DocumentationTestSuite.java","L113","1","0","0","0","11","37"
"L123","DynamicTestsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/DynamicTestsDemo.java","L113","1","0","0","0","132","198"
"L124","ExampleTestCase.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/ExampleTestCase.java","L113","1","0","0","1","33","60"
"L125","ExternalCustomConditionDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/ExternalCustomConditionDemo.java","L113","1","0","0","0","14","35"
"L126","ExternalMethodSourceDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/ExternalMethodSourceDemo.java","L113","1","0","0","0","15","35"
"L127","Fast.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/Fast.java","L113","1","0","0","1","11","27"
"L128","FastTest.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/FastTest.java","L113","1","0","0","1","13","29"
"L129","HamcrestAssertionsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/HamcrestAssertionsDemo.java","L113","1","0","0","0","13","33"
"L130","IgnoredTestsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/IgnoredTestsDemo.java","L113","1","0","0","0","14","32"
"L131","JUnit4Tests.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/JUnit4Tests.java","L113","1","0","0","2","7","23"
"L132","JUnitPlatformClassDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/JUnitPlatformClassDemo.java","L113","1","0","1","0","16","40"
"L133","JUnitPlatformSuiteDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/JUnitPlatformSuiteDemo.java","L113","1","0","0","1","11","28"
"L134","MyFirstJUnitJupiterTests.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/MyFirstJUnitJupiterTests.java","L113","1","0","0","0","11","31"
"L135","OrderedNestedTestClassesDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/OrderedNestedTestClassesDemo.java","L113","1","0","0","0","23","42"
"L136","OrderedTestsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/OrderedTestsDemo.java","L113","1","0","0","0","20","42"
"L137","ParameterizedTestDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/ParameterizedTestDemo.java","L113","8","0","0","0","310","460"
"L138","PollingTimeoutDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/PollingTimeoutDemo.java","L113","2","0","0","0","15","34"
"L139","RepeatedTestsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/RepeatedTestsDemo.java","L113","1","0","0","0","40","69"
"L140","SharedResourcesDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/SharedResourcesDemo.java","L113","1","0","0","0","43","67"
"L141","SlowTests.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/SlowTests.java","L113","1","0","0","0","90","127"
"L142","StandardTests.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/StandardTests.java","L113","1","0","0","0","40","68"
"L143","SuiteDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/SuiteDemo.java","L113","1","0","0","0","12","29"
"L144","TaggingDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/TaggingDemo.java","L113","1","0","0","0","11","28"
"L145","TempDirectoryDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/TempDirectoryDemo.java","L113","1","0","0","0","40","77"
"L146","TestInfoDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/TestInfoDemo.java","L113","2","0","0","0","29","50"
"L147","TestingAStackDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/TestingAStackDemo.java","L113","1","0","0","0","69","99"
"L148","TestReporterDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/TestReporterDemo.java","L113","1","0","0","0","25","46"
"L149","TestTemplateDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/TestTemplateDemo.java","L113","1","0","0","0","58","89"
"L150","TimeoutDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/TimeoutDemo.java","L113","1","0","0","0","15","36"
"L151","UsingTheLauncherDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/UsingTheLauncherDemo.java","L113","1","0","0","0","101","156"
"L2430","ExpectToFail.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/extensions/ExpectToFail.java","L2429","1","0","0","4","31","52"
"L243","DocumentationDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.0/documentation/src/test/java/example/registration/DocumentationDemo.java","L242","1","0","0","0","29","59"
