"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C7367","171~CloneInstance","C1322","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\AssertionsDemo.java","62","4","71","5","1","1","86","10","1","0"
"C7368","172~CloneInstance","C1322","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\documentation\src\test\java\example\AssertionsDemo.java","72","4","83","5","1","1","86","12","1","0"
"C10974","880~CloneInstance","C2442","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertAll.java","61","2","84","3","1","3","103","24","1","1"
"C10799","853~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","169","2","183","3","1","4","7","15","1","0"
"C10800","854~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","185","2","199","3","1","4","7","15","1","0"
"C10801","855~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","201","2","215","3","1","4","7","15","1","0"
"C10802","856~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","217","2","231","3","1","4","7","15","1","0"
"C10803","857~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","233","2","247","3","1","4","7","15","1","0"
"C10804","858~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","249","2","263","3","1","4","7","15","1","0"
"C10805","860~CloneInstance","C2386","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","265","2","279","3","1","4","11","15","1","0"
"C10765","850~CloneInstance","C2380","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","281","2","296","3","1","4","12","16","1","0"
"C10806","861~CloneInstance","C2386","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","298","2","312","3","1","4","11","15","1","0"
"C10766","851~CloneInstance","C2380","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","314","2","329","3","1","4","12","16","1","0"
"C10968","877~CloneInstance","C2439","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","397","2","406","3","1","3","13","10","1","0"
"C10969","878~CloneInstance","C2439","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java","90","2","99","3","1","3","4","10","1","0"
"C9314","440~CloneInstance","C1935","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","330","2","347","3","1","3","62","18","1","0"
"C9316","443~CloneInstance","C1936","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","349","2","368","3","1","3","66","20","1","0"
"C9304","425~CloneInstance","C1930","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","414","2","424","3","1","2","42","11","1","0"
"C9308","431~CloneInstance","C1932","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","426","2","435","3","1","2","40","10","1","0"
"C9310","434~CloneInstance","C1933","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","437","2","447","3","1","2","42","11","1","0"
"C9315","441~CloneInstance","C1935","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","471","2","488","3","1","3","62","18","1","0"
"C9317","444~CloneInstance","C1936","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","490","2","509","3","1","3","66","20","1","0"
"C9305","426~CloneInstance","C1930","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","555","2","565","3","1","2","42","11","1","0"
"C9309","432~CloneInstance","C1932","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","567","2","576","3","1","2","40","10","1","0"
"C9312","437~CloneInstance","C1934","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","612","2","629","3","1","3","62","18","1","0"
