"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L11600","descriptor","org.junit.jupiter.engine.descriptor","L11087","L103","0.011042","2","6","4","0","0","0","0","0.4","0.198522","833","30","45","0.425","0.206034","881","34","46","3363","5098","81","72","1","103","3","358","11","1","126","5","3395","5202","81","78","21","1","42","103","3","362","916","11","19","0","1","1","126","5","0","2","1043","60","195","5","116","54","23","0","36","24","0","4","0","0"
"L13925","discovery","org.junit.jupiter.engine.discovery","L11087","L103","0.071458","6","16","12","0","0","0","0","0.333333","0.159329","304","3","6","0.434783","0.196812","531","10","13","1604","2304","32","40","1","13","1","169","3","1","30","1","2167","3347","48","87","22","1","32","13","1","252","613","4","9","0","0","1","41","1","0","0","837","56","163","6","139","15","7","0","42","16","0","0","0","0"
"L15387","execution","org.junit.jupiter.engine.execution","L11087","L103","0.0117258","2","3","3","0","0","0","0","0.265625","0.205082","452","17","47","0.302083","0.24777","639","29","67","1752","2728","78","40","0","40","8","213","0","1","89","0","1940","3190","79","51","22","0","35","40","8","233","626","0","20","0","7","2","109","0","0","0","649","21","107","11","70","32","13","0","0","10","0","3","0","0"
"L16706","extension","org.junit.jupiter.engine.extension","L11087","L103","0.103252","27","64","64","0","0","0","0","0.666667","0.14486","1674","12","6","0.625","0.148431","1731","15","9","9882","13701","248","425","2","32","12","1208","15","1","195","11","9931","13830","248","428","21","2","55","32","12","1212","2418","15","18","0","2","1","197","11","0","9","4254","491","654","14","669","211","27","0","97","122","0","28","0","0"
"L22229","support","org.junit.jupiter.engine.support","L11087","L103","0","0","0","0","0","0","0","0","1","0.333333","64","2","0","1","0.333333","64","2","0","128","250","7","4","0","0","0","8","0","0","3","0","128","250","7","4","20","0","4","0","0","8","30","0","1","0","0","0","3","0","0","0","19","4","5","0","6","1","0","0","0","2","0","0","0","0"
"L22378","bridge","org.junit.jupiter.engine.bridge","L11087","L103","0","0","0","0","0","0","0","0","0.333333","0.292135","104","1","2","0.333333","0.292135","104","1","2","252","434","1","11","0","0","1","29","0","0","8","0","252","434","1","11","13","0","8","0","1","29","66","0","3","0","0","0","8","0","0","0","97","13","41","0","43","7","3","0","0","1","0","0","0","0"
"L24075","conditions","org.junit.jupiter.migrationsupport.conditions","L24057","L103","0","0","0","0","0","0","0","0","1","0.346614","87","2","0","1","0.346614","87","2","0","164","305","2","9","0","0","0","16","0","0","1","0","164","305","2","9","20","0","4","0","0","16","23","0","1","0","0","0","1","0","0","0","43","8","1","0","7","2","0","0","0","0","0","0","0","0"
"L24157","rules","org.junit.jupiter.migrationsupport.rules","L24057","L103","0.016898","1","3","3","0","0","0","0","0.2","0.272648","313","5","20","0.270833","0.30198","427","13","35","835","1420","53","41","0","11","1","95","12","2","20","0","987","1768","55","48","22","0","32","13","3","115","185","12","20","0","2","2","36","0","0","1","489","17","90","0","48","24","7","0","3","1","0","25","0","0"
"L24732","aggregator","org.junit.jupiter.params.aggregator","L24705","L103","0.0434635","1","2","2","0","0","0","0","0.534884","0.365569","344","23","20","0.534884","0.365569","344","23","20","597","1101","15","16","1","33","2","90","2","0","41","0","597","1101","15","16","20","1","9","33","2","90","139","2","5","0","2","0","41","0","0","4","225","8","83","3","60","29","1","0","0","5","0","0","0","0"
"L25136","converter","org.junit.jupiter.params.converter","L24705","L103","0.0205962","1","9","3","0","0","0","0","0.615385","0.274386","391","8","5","0.615385","0.274386","391","8","5","1034","1679","21","25","0","0","2","123","1","0","27","0","1034","1679","21","25","20","0","14","0","2","123","257","1","4","0","1","0","27","0","0","7","335","13","39","2","18","23","7","0","1","10","0","0","0","0"
