"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L24966","city","org.junit.jupiter.params.aggregator.AggregatorIntegrationTests$Address.city;Ljava/lang/String;","L24883","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\aggregator\AggregatorIntegrationTests.java","239","3","239","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24968","zipCode","org.junit.jupiter.params.aggregator.AggregatorIntegrationTests$Address.zipCode;I","L24883","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\aggregator\AggregatorIntegrationTests.java","240","3","240","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25045","instanceCount","org.junit.jupiter.params.aggregator.AggregatorIntegrationTests$InstanceCountingConverter.instanceCount;I","L25047","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\aggregator\AggregatorIntegrationTests.java","369","3","369","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25037","instanceCount","org.junit.jupiter.params.aggregator.AggregatorIntegrationTests$InstanceCountingAggregator.instanceCount;I","L25058","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\aggregator\AggregatorIntegrationTests.java","382","3","382","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25039","output","org.junit.jupiter.params.aggregator.AggregatorIntegrationTests$CountingTestCase.output;Ljava/util/List;","L25041","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\aggregator\AggregatorIntegrationTests.java","397","3","397","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25226","CONVERTERS","org.junit.jupiter.params.converter.DefaultArgumentConverter$StringToBooleanAndCharPrimitiveConverter.CONVERTERS;Ljava/util/Map;","L25182","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\converter\DefaultArgumentConverter.java","146","3","146","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25251","CONVERTERS","org.junit.jupiter.params.converter.DefaultArgumentConverter$StringToNumericPrimitiveConverter.CONVERTERS;Ljava/util/Map;","L25185","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\converter\DefaultArgumentConverter.java","170","3","170","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25286","CONVERTERS","org.junit.jupiter.params.converter.DefaultArgumentConverter$StringToJavaTimeConverter.CONVERTERS;Ljava/util/Map;","L25191","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\converter\DefaultArgumentConverter.java","213","3","213","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25373","CONVERTERS","org.junit.jupiter.params.converter.DefaultArgumentConverter$StringToCommonJavaTypesConverter.CONVERTERS;Ljava/util/Map;","L25194","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\converter\DefaultArgumentConverter.java","246","3","246","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25482","targetType","org.junit.jupiter.params.converter.FallbackStringToObjectConverter$IsFactoryMethod.targetType;Ljava/lang/Class;","L25465","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\converter\FallbackStringToObjectConverter.java","124","3","124","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
