"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\.columbus_java\V2.ljsi","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\.columbus_java\V2.ljsi","0.0842182","268","987","12816.1","0.498983","650","0.05365","0.080822","0.0471965","7982","6997","0.0734372","0.672721","0.317027","40186","1852","901","86573","148779","2030","2255","440","40","1170","989","177","10333","25328","271","444","22","117","117","3248","71","0","78","31382","2311","6231","474","4673","1808","639","0","551","841","0","108","0","0"
"L102","<System>","<System>","0.0842182","268","987","12816.1","0.498983","650","0.05365","0.080822","0.0471965","7982","6997","0.0734372","0.672721","0.317027","40186","1852","901","86573","148779","2030","2255","440","40","1170","989","177","10333","25328","271","444","22","117","117","3248","71","0","78","31382","2311","6231","474","4673","1808","639","0","551","841","0","108","0","0"
