"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L42866","StreamInterceptingTestExecutionListenerIntegrationTests$HiddenSystemOutAndErr","org.junit.platform.launcher.core.StreamInterceptingTestExecutionListenerIntegrationTests$HiddenSystemOutAndErr","L42862","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\core\StreamInterceptingTestExecutionListenerIntegrationTests.java","130","2","149","3","0","0","0","0","0","0","0","0","1","0","0","2","5","1","0","4","6","0","0","0","0","0","3","0","0","2","3","0","0","2","17","20","1","0","1","0","2","0","2","0","2","8","0","2","0","17","20","1","0","1","0","2","0","2","0","2","8","0","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","0","0","0"
"L43106","AbortOnFailureLauncherDiscoveryListener","org.junit.platform.launcher.listeners.discovery.AbortOnFailureLauncherDiscoveryListener","L43095","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\discovery\AbortOnFailureLauncherDiscoveryListener.java","29","1","65","2","0.247863","1","3","1","0.27027","0.3125","10","10","4","2","2","10","9","1","0","7","11","0.2","0.111111","4","4","1","4","0.111111","4","2","2","0","0","1","32","37","2","0","0","0","4","0","4","0","7","13","2","7","0","32","37","2","0","0","0","4","0","4","0","7","13","2","7","0","0","0","25","0","0","0","0","11","0","1","0","0","0","0","11","0","0","0","0","0","0","0","2"
"L43120","CompositeLauncherDiscoveryListener","org.junit.platform.launcher.listeners.discovery.CompositeLauncherDiscoveryListener","L43095","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\discovery\CompositeLauncherDiscoveryListener.java","28","1","60","2","0","0","0","0","0","0","0","0","1","0","0","6","6","1","1","0","6","0.166667","0.133333","4","4","1","5","0.133333","4","2","2","0","0","1","26","33","3","0","1","0","6","0","5","0","6","6","2","5","0","26","33","3","0","1","0","6","0","5","0","6","6","2","5","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","2"
"L41871","LauncherDiscoveryListeners","org.junit.platform.launcher.listeners.discovery.LauncherDiscoveryListeners","L43095","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\discovery\LauncherDiscoveryListeners.java","35","1","121","2","0.226601","1","3","1","0.126437","0.229167","11","11","5","1","1","8","6","4","11","4","10","0.6","0.486486","36","32","3","2","0.428571","36","0","0","0","0","0","38","72","0","0","0","0","6","0","4","0","6","12","0","4","0","48","87","4","0","4","0","7","2","4","0","7","14","2","4","0","0","0","31","0","1","0","0","10","0","1","0","0","1","0","14","0","0","0","0","0","0","0","6"
"L43156","LoggingLauncherDiscoveryListener","org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener","L43095","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListener.java","33","1","107","2","0.111538","1","3","1","0.133333","0.151515","10","10","3","3","3","16","11","2","0","11","18","0.125","0.0571429","4","4","1","7","0.0571429","4","2","2","0","0","1","66","75","3","0","1","0","7","0","7","0","7","26","2","7","0","66","75","3","0","1","0","7","0","7","0","7","26","2","7","0","0","0","30","1","0","0","1","9","0","1","0","1","0","0","17","0","0","0","0","0","0","0","2"
"L43237","AbortOnFailureLauncherDiscoveryListenerTests","org.junit.platform.launcher.listeners.discovery.AbortOnFailureLauncherDiscoveryListenerTests","L43095","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\AbortOnFailureLauncherDiscoveryListenerTests.java","29","1","96","2","0","0","0","0","0","0","0","0","3","0","0","4","13","0","0","14","18","0","0.225352","16","0","0","1","0.213333","16","1","1","0","0","1","55","64","0","0","0","0","4","0","0","0","6","23","0","0","0","59","68","1","4","0","0","5","0","1","0","15","24","0","9","0","0","0","16","1","3","0","3","0","0","1","0","2","0","0","13","0","1","0","0","0","0","0","0"
"L43238","AbstractLauncherDiscoveryListenerTests","org.junit.platform.launcher.listeners.discovery.AbstractLauncherDiscoveryListenerTests","L43095","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\AbstractLauncherDiscoveryListenerTests.java","21","1","47","2","0","0","0","0","0","0","0","0","2","0","0","2","1","2","6","0","2","0","0","0","0","0","1","0.0769231","2","0","0","2","2","0","10","13","0","0","0","0","2","0","0","0","2","2","0","0","0","24","27","1","8","0","0","4","0","2","0","20","6","0","18","0","0","0","18","0","1","0","1","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","0"
"L43286","LoggingLauncherDiscoveryListenerTests","org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests","L43095","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListenerTests.java","31","1","128","2","0","0","0","0","0","0","0","0","4","0","0","5","13","0","0","14","19","0","0.257143","27","0","0","1","0.247706","27","1","1","0","0","1","78","94","0","0","0","0","5","0","0","0","7","29","0","0","0","82","98","1","4","0","0","6","0","1","0","16","30","0","9","0","0","0","13","2","1","0","1","0","0","1","0","3","0","0","9","0","2","0","0","0","0","0","0"
"L43414","MutableTestExecutionSummary$DefaultFailure","org.junit.platform.launcher.listeners.MutableTestExecutionSummary$DefaultFailure","L43374","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\MutableTestExecutionSummary.java","285","2","306","3","0","0","0","0","0","0","0","0","0","0","0","3","2","1","1","0","3","0","0","0","0","0","3","0","0","1","1","0","0","1","17","22","3","2","3","2","3","0","2","0","3","4","0","2","0","17","22","3","2","3","2","3","0","2","0","3","4","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0"
"L43538","CompositeLauncherSessionListener","org.junit.platform.launcher.listeners.session.CompositeLauncherSessionListener","L43533","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\session\CompositeLauncherSessionListener.java","24","1","41","2","0","0","0","0","0","0","0","0","1","0","0","3","2","1","1","0","3","0.333333","0.222222","4","4","1","2","0.222222","4","1","1","0","0","1","14","18","2","0","1","0","3","0","2","0","3","3","1","2","0","14","18","2","0","1","0","3","0","2","0","3","3","1","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2"
"L41987","LauncherSessionListeners","org.junit.platform.launcher.listeners.session.LauncherSessionListeners","L43533","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\session\LauncherSessionListeners.java","27","1","45","2","0.793103","1","3","1","0.578947","0.6875","11","11","1","1","1","4","3","1","0","3","5","0.5","0.272727","6","6","1","1","0.272727","6","0","0","0","0","0","16","19","0","0","0","0","2","0","1","0","2","7","0","1","0","16","19","0","0","0","0","2","0","1","0","2","7","0","1","0","0","0","16","0","1","0","0","11","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0"
"L43892","UniqueIdTrackingListenerIntegrationTests$TestCase1","org.junit.platform.launcher.listeners.UniqueIdTrackingListenerIntegrationTests$TestCase1","L43790","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\listeners\UniqueIdTrackingListenerIntegrationTests.java","283","2","308","3","0","0","0","0","0","0","0","0","5","0","0","5","6","1","0","2","7","1","0.0454545","1","1","1","0","0.0454545","1","0","0","0","0","0","21","26","0","0","0","0","5","0","0","0","5","3","0","0","0","21","26","0","0","0","0","5","0","0","0","5","3","0","0","0","0","0","13","3","4","0","5","0","0","1","0","0","0","0","12","2","0","0","0","0","0","0","0"
"L43865","UniqueIdTrackingListenerIntegrationTests$TestCase2","org.junit.platform.launcher.listeners.UniqueIdTrackingListenerIntegrationTests$TestCase2","L43790","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\listeners\UniqueIdTrackingListenerIntegrationTests.java","310","2","319","3","0","0","0","0","0","0","0","0","2","0","0","2","1","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","8","10","0","0","0","0","2","0","0","0","2","0","0","0","0","8","10","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","8","2","2","0","2","0","0","1","0","0","0","0","7","2","0","0","0","0","0","0","0"
"L43868","UniqueIdTrackingListenerIntegrationTests$TestCase3","org.junit.platform.launcher.listeners.UniqueIdTrackingListenerIntegrationTests$TestCase3","L43790","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\listeners\UniqueIdTrackingListenerIntegrationTests.java","321","2","330","3","0","0","0","0","0","0","0","0","2","0","0","2","1","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","8","10","0","0","0","0","2","0","0","0","2","0","0","0","0","8","10","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","8","2","2","0","2","0","0","1","0","0","0","0","7","2","0","0","0","0","0","0","0"
"L43871","UniqueIdTrackingListenerIntegrationTests$TestCase4","org.junit.platform.launcher.listeners.UniqueIdTrackingListenerIntegrationTests$TestCase4","L43790","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\listeners\UniqueIdTrackingListenerIntegrationTests.java","332","2","341","3","0","0","0","0","0","0","0","0","2","0","0","2","1","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","8","10","0","0","0","0","2","0","0","0","2","0","0","0","0","8","10","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","8","2","2","0","2","0","0","1","0","0","0","0","7","2","0","0","0","0","0","0","0"
"L45006","TestIdentifierTests$1","org.junit.platform.launcher.TestIdentifierTests$1","L44992","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\platform-tests\src\test\java\org\junit\platform\launcher\TestIdentifierTests.java","92","88","108","4","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","4","0","0","0","0","0","4","0","0","2","2","0","0","1","14","17","5","10","0","3","3","0","3","0","27","3","0","25","1","14","17","5","10","0","3","3","0","3","0","27","3","0","25","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0"
