"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L45934","UseTechnicalNames","org.junit.platform.suite.api.UseTechnicalNames","L46244","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-platform-suite-api\src\main\java\org\junit\platform\suite\api\UseTechnicalNames.java","49","1","56","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0.757576","25","25","1","0","0.757576","25","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6865","DisabledIfEnvironmentVariableIntegrationTests$CustomDisabled","org.junit.jupiter.api.condition.DisabledIfEnvironmentVariableIntegrationTests$CustomDisabled","L6826","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\condition\DisabledIfEnvironmentVariableIntegrationTests.java","87","2","91","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L6938","DisabledIfSystemPropertyIntegrationTests$CustomDisabled","org.junit.jupiter.api.condition.DisabledIfSystemPropertyIntegrationTests$CustomDisabled","L6896","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\condition\DisabledIfSystemPropertyIntegrationTests.java","101","2","105","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L7051","DisabledOnOsIntegrationTests$DisabledOnMac","org.junit.jupiter.api.condition.DisabledOnOsIntegrationTests$DisabledOnMac","L7010","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\condition\DisabledOnOsIntegrationTests.java","96","2","100","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.166667","1","1","1","0","0.166667","1","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"L7188","EnabledIfEnvironmentVariableIntegrationTests$CustomEnabled","org.junit.jupiter.api.condition.EnabledIfEnvironmentVariableIntegrationTests$CustomEnabled","L7138","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\condition\EnabledIfEnvironmentVariableIntegrationTests.java","95","2","99","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L7262","EnabledIfSystemPropertyIntegrationTests$CustomEnabled","org.junit.jupiter.api.condition.EnabledIfSystemPropertyIntegrationTests$CustomEnabled","L7218","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\condition\EnabledIfSystemPropertyIntegrationTests.java","107","2","111","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L7368","EnabledOnOsIntegrationTests$EnabledOnMac","org.junit.jupiter.api.condition.EnabledOnOsIntegrationTests$EnabledOnMac","L7334","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\condition\EnabledOnOsIntegrationTests.java","109","2","113","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.166667","1","1","1","0","0.166667","1","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"L13641","JupiterTestDescriptorTests$CustomTestAnnotation","org.junit.jupiter.engine.descriptor.JupiterTestDescriptorTests$CustomTestAnnotation","L13570","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\descriptor\JupiterTestDescriptorTests.java","284","2","290","3","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","1","0.125","1","1","1","0","0.125","1","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"L13877","TestInstanceLifecycleUtilsTests$PerClassLifeCycle","org.junit.jupiter.engine.descriptor.TestInstanceLifecycleUtilsTests$PerClassLifeCycle","L13854","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\descriptor\TestInstanceLifecycleUtilsTests.java","104","2","109","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"L15364","DiscoveryTests$CustomTestAnnotation","org.junit.jupiter.engine.discovery.DiscoveryTests$CustomTestAnnotation","L15318","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\discovery\DiscoveryTests.java","202","2","205","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
