"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\.columbus_java\V3.ljsi","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\.columbus_java\V3.ljsi","0.0840941","268","987","12816.1","0.497583","650","0.0534954","0.0806344","0.047064","7986","7001","0.0734372","0.672721","0.317427","40377","1852","901","86824","149284","2066","2255","440","40","1170","991","177","10359","25438","273","444","22","117","117","3248","71","0","78","31434","2321","6247","478","4681","1818","639","0","551","847","0","110","0","0"
"L102","<System>","<System>","0.0840941","268","987","12816.1","0.497583","650","0.0534954","0.0806344","0.047064","7986","7001","0.0734372","0.672721","0.317427","40377","1852","901","86824","149284","2066","2255","440","40","1170","991","177","10359","25438","273","444","22","117","117","3248","71","0","78","31434","2321","6247","478","4681","1818","639","0","551","847","0","110","0","0"
