"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L50390","eclipse-public-license-2.0.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/src/spotless/eclipse-public-license-2.0.java","L50389","1","0","0","0","0","10"
"L50316","DefaultPackageTestCase.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-jupiter-engine/src/test/java/DefaultPackageTestCase.java","L155","1","0","0","0","8","29"
"L50315","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-jupiter-engine/src/module/org.junit.jupiter.engine/module-info.java","L50314","1","0","0","0","11","35"
"L50312","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-jupiter-api/src/module/org.junit.jupiter.api/module-info.java","L50311","1","0","0","0","12","28"
"L50369","DefaultPackageTestCase.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/platform-tests/src/test/java/DefaultPackageTestCase.java","L6085","1","0","0","0","8","29"
"L50319","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-jupiter-migrationsupport/src/module/org.junit.jupiter.migrationsupport/module-info.java","L50318","1","0","0","0","11","28"
"L50322","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-jupiter-params/src/module/org.junit.jupiter.params/module-info.java","L50321","1","0","0","0","13","31"
"L50330","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-commons/src/module/org.junit.platform.commons/module-info.java","L50329","1","0","0","0","38","55"
"L50333","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-console/src/module/org.junit.platform.console/module-info.java","L50332","1","0","0","0","8","26"
"L50336","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-engine/src/module/org.junit.platform.engine/module-info.java","L50335","1","0","0","0","13","34"
"L50339","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-jfr/src/module/org.junit.platform.jfr/module-info.java","L50338","1","0","0","0","10","33"
"L50342","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-launcher/src/module/org.junit.platform.launcher/module-info.java","L50341","1","0","0","0","17","42"
"L50345","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-reporting/src/module/org.junit.platform.reporting/module-info.java","L50344","1","0","0","0","9","27"
"L50348","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-runner/src/module/org.junit.platform.runner/module-info.java","L50347","1","0","0","0","8","26"
"L50351","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-suite-api/src/module/org.junit.platform.suite.api/module-info.java","L50350","1","0","0","0","5","22"
"L50354","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-suite-commons/src/module/org.junit.platform.suite.commons/module-info.java","L50353","1","0","0","0","10","27"
"L50357","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-suite-engine/src/module/org.junit.platform.suite.engine/module-info.java","L50356","1","0","0","0","10","29"
"L50365","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-testkit/src/module/org.junit.platform.testkit/module-info.java","L50364","1","0","0","0","10","30"
"L50368","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-vintage-engine/src/module/org.junit.vintage.engine/module-info.java","L50367","1","0","0","0","7","26"
"L50327","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-jupiter/src/module/org.junit.jupiter/module-info.java","L50326","1","0","0","0","5","21"
"L50362","module-info.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/junit-platform-suite/src/module/org.junit.platform.suite/module-info.java","L50361","1","0","0","0","4","20"
"L114","AssertionsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/documentation/src/test/java/example/AssertionsDemo.java","L113","1","0","0","0","94","151"
"L115","AssumptionsDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/documentation/src/test/java/example/AssumptionsDemo.java","L113","1","0","0","0","26","56"
"L116","ConditionalTestExecutionDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/documentation/src/test/java/example/ConditionalTestExecutionDemo.java","L113","1","0","0","0","111","177"
"L117","CustomTestEngine.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/documentation/src/test/java/example/CustomTestEngine.java","L113","1","0","0","0","20","41"
"L118","DisabledClassDemo.java","D:/GitRepos/2022SourceMeter-CasadoCristianDavid/junit5-r5.8.2/documentation/src/test/java/example/DisabledClassDemo.java","L113","1","0","0","0","9","26"
