"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L34295","Color","org.junit.platform.console.tasks.Color","L34275","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-console\src\main\java\org\junit\platform\console\tasks\Color.java","19","1","83","2","0","0","0","0","0","0","0","0","3","1","1","8","3","3","8","2","6","0.5","0.0666667","3","3","1","1","0.0666667","3","0","0","0","0","0","42","65","18","0","18","0","4","9","1","0","4","8","9","1","0","42","65","18","0","18","0","4","9","1","0","4","8","9","1","0","0","0","19","0","9","0","0","0","9","1","0","0","0","0","11","0","0","0","0","0","0","0","7"
"L15286","SelectorResolutionResult$Status","org.junit.platform.engine.SelectorResolutionResult$Status","L15104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-engine\src\main\java\org\junit\platform\engine\SelectorResolutionResult.java","35","2","55","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.75","15","15","1","0","0.75","15","0","0","0","0","0","5","21","3","0","3","0","0","3","0","0","0","0","3","0","0","5","21","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L11816","TestDescriptor$Type","org.junit.platform.engine.TestDescriptor$Type","L721","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-engine\src\main\java\org\junit\platform\engine\TestDescriptor.java","274","2","307","3","0","0","0","0","0","0","0","0","1","0","0","4","0","38","4","0","2","1","0.645161","20","20","3","0","0.645161","20","0","0","0","0","0","11","34","3","0","3","0","2","3","2","0","2","2","3","2","0","11","34","3","0","3","0","2","3","2","0","2","2","3","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L13222","TestExecutionResult$Status","org.junit.platform.engine.TestExecutionResult$Status","L13053","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-engine\src\main\java\org\junit\platform\engine\TestExecutionResult.java","39","2","58","3","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","1","0.736842","14","14","1","0","0.736842","14","0","0","0","0","0","5","20","3","0","3","0","0","3","0","0","0","0","3","0","0","5","20","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L43071","EngineDiscoveryResult$Status","org.junit.platform.launcher.EngineDiscoveryResult$Status","L40716","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-launcher\src\main\java\org\junit\platform\launcher\EngineDiscoveryResult.java","36","2","48","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0.714286","10","10","1","0","0.714286","10","0","0","0","0","0","4","13","2","0","2","0","0","2","0","0","0","0","2","0","0","4","13","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L43124","EngineFilter$Type","org.junit.platform.launcher.EngineFilter$Type","L35032","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-launcher\src\main\java\org\junit\platform\launcher\EngineFilter.java","147","2","159","3","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","8","13","3","0","3","0","1","2","0","0","1","1","2","0","0","8","13","3","0","3","0","1","2","0","0","1","1","2","0","0","0","0","9","0","1","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","4"
"L47464","EventType","org.junit.platform.testkit.engine.EventType","L47228","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-platform-testkit\src\main\java\org\junit\platform\testkit\engine\EventType.java","26","1","65","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0.8","32","32","1","0","0.8","32","0","0","0","0","0","8","40","5","0","5","0","0","5","0","0","0","0","5","0","0","8","40","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L48938","EventType","org.junit.vintage.engine.execution.EventType","L48929","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-vintage-engine\src\main\java\org\junit\vintage\engine\execution\EventType.java","16","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.5","3","3","1","0","0.5","3","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"L12358","DynamicDescendantFilter$Mode","org.junit.jupiter.engine.descriptor.DynamicDescendantFilter$Mode","L12298","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\DynamicDescendantFilter.java","56","2","58","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4"
"L14575","MethodSelectorResolver$MethodType","org.junit.jupiter.engine.discovery.MethodSelectorResolver$MethodType","L14415","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\discovery\MethodSelectorResolver.java","143","2","228","3","0","0","0","0","0","0","0","0","2","1","1","10","8","3","5","9","15","0","0.0169492","1","0","0","1","0.0135135","1","0","0","3","3","0","58","68","6","0","6","0","6","3","0","0","6","17","3","0","0","73","86","6","0","6","0","9","3","0","0","24","20","3","0","0","0","0","42","0","0","0","0","0","0","1","0","0","0","0","30","0","0","0","0","0","0","0","11"
