"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L385","AssertionsDemo","example.AssertionsDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\AssertionsDemo.java","32","1","148","2","0.231884","1","2","2","0.188034","0.2","22","16","10","0","0","10","5","0","0","11","21","0","0.183673","18","2","0","1","0.183673","18","0","0","0","0","0","80","117","2","0","2","0","10","0","0","0","10","15","0","0","0","80","117","2","0","2","0","10","0","0","0","10","15","0","0","0","0","0","58","0","18","0","18","42","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0"
"L476","AssumptionsDemo","example.AssumptionsDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\AssumptionsDemo.java","24","1","53","2","0","0","0","0","0","0","0","0","3","0","0","3","4","0","0","5","8","0","0.2","5","0","0","1","0.2","5","0","0","0","0","0","20","30","1","0","1","0","3","0","0","0","3","4","0","0","0","20","30","1","0","1","0","3","0","0","0","3","4","0","0","0","0","0","10","2","3","0","5","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0"
"L616","ConditionalTestExecutionDemo","example.ConditionalTestExecutionDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\ConditionalTestExecutionDemo.java","40","1","176","2","0","0","0","0","0","0","0","0","20","0","0","20","16","0","0","0","20","0","0.266055","29","9","0","1","0.252174","29","0","0","0","0","0","80","131","0","0","0","0","20","0","0","0","20","1","0","0","0","86","137","0","0","0","0","20","0","0","0","20","1","0","0","0","0","0","32","18","2","0","18","0","2","1","0","1","0","0","30","0","0","0","0","0","0","0","0"
"L713","CustomTestEngine","example.CustomTestEngine","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\CustomTestEngine.java","24","1","40","2","0","0","0","0","0","0","0","0","2","0","0","3","6","1","0","2","5","0.25","0.235294","4","4","1","3","0.235294","4","1","1","0","0","1","13","17","0","4","0","1","3","0","3","0","6","2","0","6","0","13","17","0","4","0","1","3","0","3","0","6","2","0","6","0","0","0","10","0","1","0","0","0","0","1","0","0","0","0","9","1","0","0","0","0","0","0","0"
"L816","DisabledClassDemo","example.DisabledClassDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\DisabledClassDemo.java","17","1","24","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0","0.142857","1","0","0","1","0.142857","1","0","0","0","0","0","6","8","0","0","0","0","1","0","0","0","1","0","0","0","0","6","8","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","5","1","1","0","1","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0"
"L822","DisabledTestsDemo","example.DisabledTestsDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\DisabledTestsDemo.java","17","1","28","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","0","2","0","0.1","1","0","0","1","0.1","1","0","0","0","0","0","9","12","0","0","0","0","2","0","0","0","2","0","0","0","0","9","12","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","8","2","2","0","2","0","0","1","0","0","0","0","7","2","0","0","0","0","0","0","0"
"L826","DisplayNameDemo","example.DisplayNameDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\DisplayNameDemo.java","17","1","35","2","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","0","3","0","0.0625","1","0","0","1","0.0625","1","0","0","0","0","0","15","19","0","0","0","0","3","0","0","0","3","0","0","0","0","15","19","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","10","3","3","0","3","0","0","1","0","0","0","0","9","3","0","0","0","0","0","0","0"
"L834","DisplayNameGeneratorDemo","example.DisplayNameGeneratorDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\DisplayNameGeneratorDemo.java","24","1","57","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333","1","0","0","1","0.0384615","1","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","25","34","0","0","0","0","4","0","0","0","4","0","0","0","0","0","0","18","0","6","0","0","0","2","2","0","0","0","0","16","4","0","0","0","0","0","0","0"
"L867","DocumentationTestSuite","example.DocumentationTestSuite","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\DocumentationTestSuite.java","31","1","36","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0.684211","13","13","1","0","0.684211","13","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L882","DynamicTestsDemo","example.DynamicTestsDemo","L104","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\DynamicTestsDemo.java","45","1","196","2","0","0","0","0","0","0","0","0","13","0","0","13","8","0","0","6","19","1","0.168142","19","4","1","0","0.15625","20","0","0","0","0","0","94","132","1","0","1","0","13","0","0","0","13","20","0","0","0","108","152","3","0","3","0","15","0","2","0","15","23","0","2","0","0","0","31","5","8","0","8","0","0","1","0","0","0","0","30","0","5","0","0","0","0","0","0"
