"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C7391","171~CloneInstance","C1328","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\AssertionsDemo.java","62","4","71","5","1","1","86","10","1","0"
"C7392","172~CloneInstance","C1328","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\documentation\src\test\java\example\AssertionsDemo.java","72","4","83","5","1","1","86","12","1","0"
"C10996","880~CloneInstance","C2447","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertAll.java","61","2","84","3","1","3","103","24","1","1"
"C10821","853~CloneInstance","C2390","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","169","2","183","3","1","4","7","15","1","0"
"C10822","854~CloneInstance","C2390","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","185","2","199","3","1","4","7","15","1","0"
"C10823","855~CloneInstance","C2390","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","201","2","215","3","1","4","7","15","1","0"
"C10824","856~CloneInstance","C2390","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","217","2","231","3","1","4","7","15","1","0"
"C10825","857~CloneInstance","C2390","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","233","2","247","3","1","4","7","15","1","0"
"C10826","858~CloneInstance","C2390","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","249","2","263","3","1","4","7","15","1","0"
"C10827","860~CloneInstance","C2391","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","265","2","279","3","1","4","11","15","1","0"
"C10787","850~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","281","2","296","3","1","4","12","16","1","0"
"C10828","861~CloneInstance","C2391","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","298","2","312","3","1","4","11","15","1","0"
"C10788","851~CloneInstance","C2385","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","314","2","329","3","1","4","12","16","1","0"
"C10991","878~CloneInstance","C2444","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","397","2","406","3","1","3","13","10","1","0"
"C10990","877~CloneInstance","C2444","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java","90","2","99","3","1","3","4","10","1","0"
"C9344","440~CloneInstance","C1944","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertArrayEqualsAssertionsTests.java","330","2","347","3","1","3","62","18","1","0"
